,ZIPCODE,RESIDENTIAL_UNITS,COMMERCIAL_UNITS,GROSS_SQUARE_FEET,AGE,TAX_CLASS,BUILDING_CLASS,SALE_PRICE
1 ,11228 ,1 ,0 ,1660 ,87 ,1 ,6 ,829000 
2 ,11214 ,1 ,0 ,972 ,67 ,1 ,6 ,790000 
3 ,11214 ,1 ,0 ,2520 ,87 ,1 ,6 ,788000 
4 ,11214 ,1 ,1 ,3240 ,92 ,1 ,163 ,1090000 
5 ,11214 ,1 ,0 ,1462 ,92 ,1 ,6 ,839000 
6 ,11214 ,1 ,0 ,2756 ,93 ,1 ,2 ,750000 
7 ,11214 ,1 ,0 ,2739 ,107 ,1 ,2 ,950000 
8 ,11228 ,1 ,0 ,1708 ,82 ,1 ,6 ,699000 
9 ,11228 ,1 ,0 ,1600 ,97 ,1 ,2 ,1050000 
10 ,11228 ,1 ,0 ,1296 ,82 ,1 ,6 ,738000 
11 ,11214 ,1 ,0 ,1156 ,66 ,1 ,6 ,680000 
12 ,11214 ,1 ,1 ,1178 ,92 ,1 ,163 ,638000 
13 ,11214 ,1 ,1 ,1530 ,112 ,1 ,163 ,880000 
14 ,11214 ,1 ,1 ,1530 ,112 ,1 ,163 ,829000 
15 ,11214 ,1 ,1 ,1530 ,112 ,1 ,163 ,880000 
16 ,11214 ,1 ,1 ,2201 ,97 ,1 ,163 ,950000 
17 ,11228 ,1 ,0 ,1496 ,67 ,1 ,2 ,930000 
18 ,11214 ,1 ,0 ,1188 ,77 ,1 ,6 ,848000 
19 ,11214 ,1 ,0 ,928 ,72 ,1 ,6 ,700000 
20 ,11214 ,1 ,0 ,928 ,77 ,1 ,6 ,748000 
21 ,11214 ,1 ,0 ,928 ,72 ,1 ,6 ,670000 
22 ,11214 ,1 ,0 ,1420 ,72 ,1 ,6 ,815000 
23 ,11214 ,1 ,0 ,1320 ,72 ,1 ,6 ,920000 
24 ,11228 ,2 ,0 ,2160 ,87 ,1 ,11 ,1150000 
25 ,11228 ,2 ,0 ,2160 ,87 ,1 ,11 ,452500 
26 ,11228 ,2 ,1 ,2496 ,86 ,1 ,164 ,100000 
27 ,11228 ,2 ,0 ,2160 ,87 ,1 ,11 ,999000 
28 ,11228 ,2 ,1 ,2496 ,86 ,1 ,164 ,1150000 
29 ,11228 ,2 ,0 ,1428 ,87 ,1 ,13 ,720000 
30 ,11228 ,2 ,0 ,1428 ,87 ,1 ,13 ,740000 
31 ,11228 ,2 ,0 ,1622 ,87 ,1 ,13 ,868600 
32 ,11228 ,2 ,0 ,1622 ,87 ,1 ,13 ,928000 
33 ,11228 ,2 ,0 ,2160 ,87 ,1 ,11 ,480000 
34 ,11214 ,2 ,0 ,1920 ,118 ,1 ,11 ,880000 
35 ,11214 ,2 ,0 ,3072 ,116 ,1 ,11 ,800000 
36 ,11214 ,2 ,0 ,1992 ,118 ,1 ,13 ,1350000 
37 ,11214 ,2 ,0 ,2244 ,107 ,1 ,12 ,714750 
38 ,11214 ,2 ,0 ,2868 ,102 ,1 ,12 ,1900000 
39 ,11214 ,2 ,1 ,3840 ,92 ,1 ,164 ,25000 
40 ,11214 ,2 ,0 ,1584 ,87 ,1 ,12 ,842088 
41 ,11214 ,2 ,0 ,2520 ,87 ,1 ,12 ,610000 
42 ,11214 ,2 ,0 ,3162 ,97 ,1 ,11 ,1030000 
43 ,11214 ,2 ,0 ,2560 ,107 ,1 ,11 ,700000 
44 ,11228 ,2 ,0 ,1764 ,97 ,1 ,13 ,1300000 
45 ,11228 ,2 ,0 ,2660 ,92 ,1 ,13 ,1400000 
